Universidad;Titulo;Tipo;Nota_de_corte;Precio_del_credito
Universidad Autónoma de Barcelona;Grado en Administración y Dirección de Empresas;Pública / Propio;8.82;25.27
Universidad Autónoma de Barcelona;Grado en Antropología Social y Cultural;Pública / Propio;5.57;25.27
Universidad Autónoma de Barcelona;Grado en Arqueología;Pública / Propio;5;35.77
Universidad Autónoma de Barcelona;Grado en Biología;Pública / Propio;10.7;35.77
Universidad Autónoma de Barcelona;Grado en Biología Ambiental;Pública / Propio;10.57;35.77
Universidad Autónoma de Barcelona;Grado en Bioquímica;Pública / Propio;11.31;35.77
Universidad Autónoma de Barcelona;Grado en Biotecnología;Pública / Propio;11;35.77
Universidad Autónoma de Barcelona;Grado en Ciencia Política y Gestión Pública;Pública / Propio;9.05;25.27
Universidad Autónoma de Barcelona;Grado en Ciencia y Tecnología de los Alimentos;Pública / Propio;5.81;35.77
Universidad Autónoma de Barcelona;Grado en Ciencias Ambientales;Pública / Propio;9.19;35.77
Universidad Autónoma de Barcelona;Grado en Ciencias Biomédicas;Pública / Propio;12.38;39.53
Universidad Autónoma de Barcelona;Grado en Ciencias de la Antigüedad;Pública / Propio;5;25.27
Universidad Autónoma de Barcelona;Grado en Comunicación Audiovisual;Pública / Propio;10.38;35.77
Universidad Autónoma de Barcelona;Grado en Comunicación de las Organizaciones;Pública / Propio;9.42;35.77
Universidad Autónoma de Barcelona;Grado en Comunicación Interactiva;Pública / Propio;7.54;35.77
Universidad Autónoma de Barcelona;Grado en Contabilidad y Finanzas;Pública / Propio;5.96;25.27
Universidad Autónoma de Barcelona;Grado en Criminología;Pública / Propio;8.79;25.27
Universidad Autónoma de Barcelona;Grado en Derecho;Pública / Propio;8.42;25.27
Universidad Autónoma de Barcelona;Grado en Economía;Pública / Propio;7.28;25.27
Universidad Autónoma de Barcelona;Grado en Educación Infantil;Pública / Propio;8.49;25.27
Universidad Autónoma de Barcelona;Grado en Educación Primaria;Pública / Propio;8;25.27
Universidad Autónoma de Barcelona;Grado en Educación Social;Pública / Propio;9.6;25.27
Universidad Autónoma de Barcelona;Grado en Empresa y Tecnología;Pública / Propio;7.38;25.27
Universidad Autónoma de Barcelona;Grado en Enfermería;Pública / Propio;10.77;39.53
Universidad Autónoma de Barcelona;Grado en Estadística Aplicada;Pública / Propio;6.39;35.77
Universidad Autónoma de Barcelona;Grado en Estudios de Asia Oriental;Pública / Propio;8.71;35.77
Universidad Autónoma de Barcelona;Grado en Estudios de Catalán y Español;Pública / Propio;5;25.27
Universidad Autónoma de Barcelona;Grado en Estudios de Inglés y Catalán;Pública / Propio;5;25.27
