Universidad;Título;Tipo de universidad;Nota de corte 2019/2020;Nota media de admisión 2019/2020;Ofertas de plazas curso 2019/2020;Créditos necesarios;Precio del crédito 2019/2020
Universidad de Sevilla;Grado en Biomedicina Básica y Experimental;Pública / Propio;13.13;13.16;50;240;12,62 €
Universidad Autónoma de Madrid;Grado en Medicina;Pública / Propio;13.08;13.17;240;360;26,14 €
Universidad Complutense de Madrid;Grado en Medicina;Pública / Propio;13.04;n/d;295;360;26,14 €
Universidad Carlos III de Madrid;Grado en Engineering Physics / Ingeniería Física;Pública / Propio;12.98;-;30;240;24,55 €
Universitat de València (Estudi General);Grado en Medicina;Pública / Propio;12.92;13.06;320;360;21,16 €
Universidad de Alcalá;Grado en Medicina;Pública / Propio;12.92;12.81;120;360;26,14 €
Universidad Politécnica de Madrid;Grado en Biotecnología;Pública / Propio;12.91;12.67;88;240;26,14 €
Universidad de Granada;Grado en Medicina;Pública / Propio;12.9;12.82;253;360;12,62 €
Universidad de Sevilla;Grado en Medicina;Pública / Propio;12.89;12.93;291;360;12,62 €
Universidad Rey Juan Carlos;Grado en Medicina;Pública / Propio;12.88;12.79;150;360;26,14 €
Universidad Carlos III de Madrid;Grado en Ingeniería Biomédica;Pública / Propio;12.87;12.97;70;240;26,14 €
Universidad Miguel Hernández de Elche;Grado en Medicina;Pública / Propio;12.87;n/d;130;360;21,16 €
Universidad de Málaga;Grado en Medicina;Pública / Propio;12.85;12.69;160;360;12,62 €
Universidad Jaume I de Castellón;Grado en Medicina;Pública / Propio;12.84;n/d;80;360;21,16 €
Universidad Carlos III de Madrid;Grado en Filosofía, Política y Economía;Pública / Propio;12.8;12.58;15;240;21,39 €
Universidad Autónoma de Madrid;Grado en Física;Pública / Propio;12.79;13.04;125;240;24,55 €
Universidad de Córdoba;Grado en Medicina;Pública / Propio;12.79;12.58;130;360;12,62 €
Universidad Pompeu Fabra;Grado en Filosofía, Política y Economía;Pública / Propio;12.77;12.88;30;240;25,27 €
Universidad Politécnica de Catalunya;Grado en Matemáticas;Pública / Propio;12.76;12.99;50;240;35,77 €
Universidad de Cádiz;Grado en Medicina;Pública / Propio;12.71;12.63;154;360;12,62 €
Universidad Autónoma de Madrid;Grado en Bioquímica;Pública / Propio;12.68;12.89;80;240;26,14 €
