precio_alquiler;;;;;;
Ciudad;Precio m2 oct 2020;Variación mensual;Variación trimestral;Variación anual;Máximo histórico;Variación máximo
España;11.3;-1,40%;-0,20%;5,20%;11,5 €/m2 sep 2020;-1,40%
Andalucía;8.6;-0,20%;-1,80%;3,80%;9,5 €/m2 ene 2006;-8,80%
Almería provincia;6.1;-0,10%;-2,10%;3,80%;7,8 €/m2 nov 2006;-22,10%
Almería;6.6;1,50%;4,10%;3,60%;6,6 €/m2 oct 2020;0,00%
Cádiz provincia;7.7;-0,60%;-3,00%;5,10%;10,0 €/m2 abr 2006;-23,20%
Cádiz;9.2;1,30%;-1,70%;0,50%;9,4 €/m2 abr 2020;-2,50%
Córdoba provincia;6.8;0,00%;-1,80%;3,90%;6,9 €/m2 jul 2020;-1,80%
Córdoba;7.2;0,40%;-1,50%;2,90%;7,4 €/m2 jun 2020;-1,90%
Granada provincia;7.8;1,10%;1,10%;6,40%;8,4 €/m2 abr 2008;-7,40%
Granada;8.1;2,10%;2,20%;2,80%;8,1 €/m2 oct 2020;0,00%
Huelva provincia;6.6;-4,50%;-13,00%;4,20%;11,3 €/m2 jul 2006;-41,50%
Huelva;6.6;-0,10%;-0,20%;2,10%;6,8 €/m2 mar 2020;-2,40%
Jaén provincia;4.9;0,90%;-1,70%;6,00%;5,0 €/m2 jun 2012;-2,50%
Jaén;6,0;0,20%;-0,50%;2,90%;6,1 €/m2 jul 2019;-1,40%
Málaga provincia;9.6;-0,70%;-2,10%;-0,10%;9,9 €/m2 jun 2020;-2,80%
Málaga;9.9;0,00%;-1,50%;-3,20%;10,4 €/m2 nov 2019;-4,50%
Sevilla provincia;9.3;-0,10%;-2,10%;2,20%;9,7 €/m2 jun 2020;-3,60%
Sevilla;10,0;0,00%;-2,90%;-3,70%;10,7 €/m2 mayo 2020;-7,10%
Aragón;7.8;-0,40%;-0,60%;2,00%;8,2 €/m2 abr 2008;-4,30%
Huesca provincia;7.6;1,00%;3,50%;3,90%;7,9 €/m2 dic 2019;-3,00%
Huesca;6.9;0,80%;1,30%;-2,90%;7,4 €/m2 nov 2019;-6,80%
Teruel provincia;5.4;1,30%;2,00%;10,80%;5,4 €/m2 oct 2020;0,00%
Teruel;6.1;1,80%;-0,90%;3,70%;6,2 €/m2 jul 2020;-0,90%
Zaragoza provincia;8,0;-0,50%;-0,80%;1,10%;8,1 €/m2 ago 2020;-1,00%
Zaragoza;8.3;-0,90%;-1,10%;-1,20%;8,4 €/m2 jun 2020;-1,70%
Asturias;7.4;0,00%;0,10%;2,80%;10,8 €/m2 feb 2008;-31,70%
Asturias;7.4;0,00%;0,10%;2,80%;10,8 €/m2 feb 2008;-31,70%
Oviedo;7.5;0,10%;0,40%;2,50%;8,1 €/m2 feb 2010;-7,50%
