Ciudad,Eficiencia relativa,Tiempo por kilómetro en hora punta,Parte del trayecto que hay que hacer a pie,Precio por trayecto
Cádiz,10,7 min 33 seg,11,"1,1 euros"
Santa Cruz de Tenerife,9.43,7 min 41 seg,25,"1,35 euros"
Madrid,9.14,8 min 24 seg,18,"1,5 euros"
Barcelona,9.05,8 min 12 seg,25,"2,15 euros"
Pamplona,9.03,8 min 27 seg,20,"1,35 euros"
Granada,8.91,8 min 41 seg,19,"1,4 euros"
Málaga,8.59,9 min 6 seg,19,"1,3 euros"
Salamanca,8.26,9 min 29 seg,20,1 euro
Alicante,8.24,9 min 38 seg,18,"1,45 euros"
Córdoba,8.19,9 min 32 seg,22,"1,3 euros"
