Índice de Precios de Consumo (IPC)
Resultados por comunidades autónomas
Ponderaciones por comunidades autónomas de rúbricas
Unidades:   Tanto por mil

,2020,2019,2018,2017,
Nacional,
    Cereales y derivados,16,802,15,673,16,747,17,214,
    Pan,13,605,12,42,13,308,13,578,
    Carne de vacuno,7,672,7,206,7,699,7,828,
    Carne de ovino,2,321,2,206,2,27,2,327,
    Carne de porcino,7,538,7,126,6,969,7,486,
    Carne de ave,8,13,7,623,7,763,8,146,
    Otras carnes,22,03,20,934,22,046,22,386,
    Pescado fresco y congelado,11,269,10,662,11,404,11,565,
    Crustáceos, moluscos y preparados de pescado,12,452,11,957,12,402,12,419,
    Huevos,2,373,2,444,2,289,2,404,
    Leche,6,875,6,796,7,211,7,477,
    Productos lácteos,14,276,14,61,14,779,15,268,
    Aceites y grasas,5,2,5,535,5,92,5,609,
    Frutas frescas,16,039,16,796,15,694,15,77,
    Frutas en conserva y frutos secos,2,716,2,517,2,615,2,664,
    Legumbres y hortalizas frescas,10,45,9,772,10,028,10,184,
    Preparados de legumbres y hortalizas,5,791,5,652,5,813,5,862,
    Patatas y sus preparados,3,1,2,967,2,949,2,987,
    Café, cacao e infusiones,4,187,3,942,4,166,4,14,
    Azúcar,0,601,0,566,0,63,0,635,
    Otros preparados alimenticios,12,047,12,032,12,197,12,108,
    Agua mineral, refrescos  y zumos,9,395,9,398,9,316,9,656,
    Bebidas alcohólicas,8,565,8,634,8,497,8,502,
    Tabaco,19,922,20,346,21,256,21,688,
    Prendas de vestir de hombre,16,073,16,671,16,268,16,558,
    Prendas de vestir de mujer,23,091,24,217,23,148,23,424,
    Prendas de vestir de niño y bebé,8,438,8,557,8,558,8,717,
    Complementos y reparaciones de prendas de vestir,1,953,1,938,1,942,1,952,
    Calzado de hombre,5,503,5,817,5,887,5,983,
    Calzado de mujer,6,993,7,203,7,721,7,655,
    Calzado de niño,2,678,2,676,2,87,2,871,
    Reparación de calzado,0,156,0,17,0,181,0,182,
    Vivienda en alquiler,30,566,30,702,30,636,30,119,
    Calefacción, alumbrado y distribución de agua,65,155,66,15,65,434,64,932,
    Conservación de la vivienda,38,008,36,693,37,763,37,981,
    Muebles y revestimientos de suelo,11,899,12,774,11,953,12,138,
    Textiles y accesorios para el hogar,5,474,5,546,5,794,5,872,
    Electrodomésticos y reparaciones,9,232,9,214,9,336,9,526,
    Utensilios y herramientas para el hogar,4,299,4,632,4,586,4,412,
    Artículos no duraderos para el hogar,13,806,13,879,13,848,14,005,
    Servicios para el hogar,17,082,16,434,16,838,16,638,
    Servicios médicos y similares,16,212,16,175,21,818,21,742,
