,Universidad,Ciudad,Titulo,Tipo,Nota_corte,precio_credito,precio_alquiler,gasto,gasto_cat
0,Universidad Autónoma de Barcelona,Barcelona,Grado en Administración y Dirección de Empresas,Pública / Propio,8.82,25.27,15.7,40.97,High
1,Universidad Autónoma de Barcelona,Barcelona,Grado en Antropología Social y Cultural,Pública / Propio,5.57,25.27,15.7,40.97,High
2,Universidad Autónoma de Barcelona,Barcelona,Grado en Arqueología,Pública / Propio,5.0,35.77,15.7,51.47,High
3,Universidad Autónoma de Barcelona,Barcelona,Grado en Biología,Pública / Propio,10.7,35.77,15.7,51.47,High
4,Universidad Autónoma de Barcelona,Barcelona,Grado en Biología Ambiental,Pública / Propio,10.57,35.77,15.7,51.47,High
5,Universidad Autónoma de Barcelona,Barcelona,Grado en Bioquímica,Pública / Propio,11.31,35.77,15.7,51.47,High
6,Universidad Autónoma de Barcelona,Barcelona,Grado en Biotecnología,Pública / Propio,11.0,35.77,15.7,51.47,High
7,Universidad Autónoma de Barcelona,Barcelona,Grado en Ciencia Política y Gestión Pública,Pública / Propio,9.05,25.27,15.7,40.97,High
8,Universidad Autónoma de Barcelona,Barcelona,Grado en Ciencia y Tecnología de los Alimentos,Pública / Propio,5.81,35.77,15.7,51.47,High
9,Universidad Autónoma de Barcelona,Barcelona,Grado en Ciencias Ambientales,Pública / Propio,9.19,35.77,15.7,51.47,High
10,Universidad Autónoma de Barcelona,Barcelona,Grado en Ciencias Biomédicas,Pública / Propio,12.38,39.53,15.7,55.23,High
11,Universidad Autónoma de Barcelona,Barcelona,Grado en Ciencias de la Antigüedad,Pública / Propio,5.0,25.27,15.7,40.97,High
12,Universidad Autónoma de Barcelona,Barcelona,Grado en Comunicación Audiovisual,Pública / Propio,10.38,35.77,15.7,51.47,High
13,Universidad Autónoma de Barcelona,Barcelona,Grado en Comunicación de las Organizaciones,Pública / Propio,9.42,35.77,15.7,51.47,High
14,Universidad Autónoma de Barcelona,Barcelona,Grado en Comunicación Interactiva,Pública / Propio,7.54,35.77,15.7,51.47,High
15,Universidad Autónoma de Barcelona,Barcelona,Grado en Contabilidad y Finanzas,Pública / Propio,5.96,25.27,15.7,40.97,High
16,Universidad Autónoma de Barcelona,Barcelona,Grado en Criminología,Pública / Propio,8.79,25.27,15.7,40.97,High
17,Universidad Autónoma de Barcelona,Barcelona,Grado en Derecho,Pública / Propio,8.42,25.27,15.7,40.97,High
18,Universidad Autónoma de Barcelona,Barcelona,Grado en Economía,Pública / Propio,7.28,25.27,15.7,40.97,High
19,Universidad Autónoma de Barcelona,Barcelona,Grado en Educación Infantil,Pública / Propio,8.49,25.27,15.7,40.97,High
20,Universidad Autónoma de Barcelona,Barcelona,Grado en Educación Primaria,Pública / Propio,8.0,25.27,15.7,40.97,High
21,Universidad Autónoma de Barcelona,Barcelona,Grado en Educación Social,Pública / Propio,9.6,25.27,15.7,40.97,High
22,Universidad Autónoma de Barcelona,Barcelona,Grado en Empresa y Tecnología,Pública / Propio,7.38,25.27,15.7,40.97,High
23,Universidad Autónoma de Barcelona,Barcelona,Grado en Enfermería,Pública / Propio,10.77,39.53,15.7,55.23,High
24,Universidad Autónoma de Barcelona,Barcelona,Grado en Estadística Aplicada,Pública / Propio,6.39,35.77,15.7,51.47,High
25,Universidad Autónoma de Barcelona,Barcelona,Grado en Estudios de Asia Oriental,Pública / Propio,8.71,35.77,15.7,51.47,High
26,Universidad Autónoma de Barcelona,Barcelona,Grado en Estudios de Catalán y Español,Pública / Propio,5.0,25.27,15.7,40.97,High
27,Universidad Autónoma de Barcelona,Barcelona,Grado en Estudios de Inglés y Catalán,Pública / Propio,5.0,25.27,15.7,40.97,High
28,Universidad Autónoma de Barcelona,Barcelona,Grado en Estudios de Inglés y de Clásicas,Pública / Propio,5.0,25.27,15.7,40.97,High
29,Universidad Autónoma de Barcelona,Barcelona,Grado en Estudios de Inglés y Español,Pública / Propio,6.19,25.27,15.7,40.97,High
30,Universidad Autónoma de Barcelona,Barcelona,Grado en Estudios de Inglés y Francés,Pública / Propio,5.0,25.27,15.7,40.97,High
31,Universidad Autónoma de Barcelona,Barcelona,Grado en Estudios Franceses,Pública / Propio,5.0,25.27,15.7,40.97,High
32,Universidad Autónoma de Barcelona,Barcelona,Grado en Estudios Ingleses,Pública / Propio,5.31,25.27,15.7,40.97,High
